id	time	lesion_area	leaf_area	ichloro_sum	x	y
SM2_74	20	992	992	218.63403018592763	486.0	1537.5
SM2_75	20	512	512	115.89653010945511	649.5	1500.0
SM2_76	20	1158	1158	242.59411894000294	781.5	1533.0
SM2_77	20	10871	10927	2239.855304433497	963.0	1558.5
SM2_78	20	6193	8558	3236.9235814895083	1149.0	1564.5
SM2_79	20	10077	11251	3309.77788608389	1345.5	1525.5
SM2_80	20	1183	1186	199.40575847639147	1492.5	1513.5
SM2_81	20	3272	3272	559.9506479863559	1615.5	1489.5
SM2_82	20	8965	9143	1502.9227272056205	1759.5	1486.5
SM2_83	20	9646	9875	1692.4564940957155	1911.0	1491.0
SM2_84	20	9553	14005	5667.874205068786	2067.0	1471.5
SM1_85	20	12732	16174	5402.5670565934315	64.0	1063.5
SM1_86	20	9044	21891	13371.435925627055	226.5	1051.5
